"","date","PRCP","SNOW","TAVG","TMAX","TMIN","AWND","WDF2","WSF2","Fog","BSnow"
"1","01-01",1,1.8,26.8,24.3,26.8,6.9,260,10.7,1,NA
"2","01-02",0,0,29.8,28.2,29.8,6.5,230,10.3,NA,NA
"3","01-03",0,0,31.3,25.2,31.3,4.5,290,10.3,NA,NA
"4","01-04",0,0.5,23.4,7.2,23.4,3.4,30,7.6,1,NA
"5","01-05",0,0,16.3,8.2,16.3,3.4,200,7.2,NA,NA
"6","01-06",0,0,25,20.1,25,3.4,210,6.7,NA,NA
"7","01-07",0,0,33.3,28.2,33.3,2.2,150,5.4,NA,NA
"8","01-08",3.8,0,34.9,30.2,34.9,3,160,5.4,1,NA
"9","01-09",13.5,0,40.5,37.9,40.5,3.3,220,5.8,1,NA
"10","01-10",4.6,2.5,30,16.2,30,8,320,13.9,1,1
"11","01-11",2,4.3,13.8,10.2,13.8,5.5,270,10.7,1,1
"12","01-12",2,4.1,17.1,13.1,17.1,8.1,270,12.5,1,1
"13","01-13",0.8,1.3,13.8,12.2,13.8,5.9,230,9.8,1,NA
"14","01-14",0,0,23.4,18.1,23.4,2.5,230,7.6,1,NA
"15","01-15",1.3,0,34.5,22.1,34.5,4.6,270,9.4,1,NA
"16","01-16",0,0,30.6,26.2,30.6,6.2,300,9.4,NA,NA
"17","01-17",0,0,17.4,9.1,17.4,6.9,270,10.7,NA,1
"18","01-18",0.3,0.5,10.9,7.2,10.9,5.9,290,11.2,1,NA
"19","01-19",0,0,12.9,5.2,12.9,3.4,270,6.3,1,NA
"20","01-20",0,0,15.6,12.2,15.6,2,280,3.6,1,NA
"21","01-21",0.3,0.3,19.2,12.2,19.2,2.5,250,5.8,1,NA
"22","01-22",0,0,24.4,18.1,24.4,2.8,50,6.7,1,NA
"23","01-23",0,0.3,22.8,17.2,22.8,2.8,40,6.7,1,NA
"24","01-24",0,0,23.4,15.3,23.4,3.7,220,9.4,1,NA
"25","01-25",0.5,0,31.5,26.2,31.5,4.8,190,8.1,1,NA
"26","01-26",2.5,3.6,36.3,29.1,36.3,8.1,240,13.4,1,NA
"27","01-27",0.3,0.5,28.6,24.3,28.6,6,180,10.7,1,NA
"28","01-28",1,0.3,29.8,26.2,29.8,6.3,220,10.3,1,NA
"29","01-29",0,0,25.3,20.1,25.3,4.8,310,9.8,NA,NA
"30","01-30",0,0,34.9,29.1,34.9,4.8,200,9.8,NA,NA
"31","01-31",3,0,42.3,37.9,42.3,4.5,260,9.4,1,NA
